iter	Passed	Remaining
0	82	82373
1	83	41544
2	83	27908
3	84	21076
4	85	16991
5	86	14254
6	87	12369
7	88	10938
8	89	9830
9	90	8922
10	90	8158
11	91	7520
12	91	6980
13	92	6517
14	93	6116
15	93	5767
16	94	5458
17	95	5191
18	96	4968
19	96	4751
20	97	4554
21	98	4371
22	98	4204
23	99	4051
24	100	3923
25	101	3800
26	102	3689
27	103	3585
28	103	3479
29	104	3380
30	105	3286
31	105	3198
32	106	3116
33	106	3039
34	107	2965
35	108	2895
36	108	2836
37	110	2791
38	111	2740
39	111	2685
40	112	2633
41	113	2583
42	113	2535
43	114	2492
44	115	2450
45	116	2409
46	116	2371
47	117	2333
48	118	2294
49	118	2258
50	119	2223
51	120	2188
52	120	2156
53	121	2124
54	121	2094
55	122	2064
56	123	2039
57	124	2023
58	125	1998
59	125	1973
60	126	1949
61	127	1925
62	127	1903
63	128	1883
64	129	1862
65	130	1840
66	130	1819
67	131	1799
68	131	1779
69	132	1760
70	133	1741
71	133	1723
72	134	1705
73	134	1688
74	135	1671
75	136	1654
76	136	1638
77	137	1622
78	138	1609
79	139	1599
80	139	1585
81	140	1572
82	140	1556
83	141	1543
84	142	1530
85	142	1517
86	143	1506
87	144	1495
88	144	1484
89	145	1472
90	146	1463
91	147	1452
92	147	1440
93	148	1429
94	148	1418
95	149	1407
96	150	1397
97	150	1386
98	151	1376
99	151	1366
100	152	1358
101	153	1353
102	154	1344
103	155	1336
104	155	1327
105	156	1319
106	157	1312
107	157	1304
108	158	1298
109	159	1291
110	160	1284
111	161	1276
112	161	1268
113	162	1261
114	162	1253
115	163	1245
116	163	1237
117	164	1230
118	165	1222
119	165	1215
120	166	1208
121	166	1200
122	167	1194
123	168	1191
124	169	1185
125	170	1179
126	170	1172
127	171	1166
128	171	1160
129	172	1155
130	173	1151
131	174	1145
132	174	1140
133	175	1134
134	176	1128
135	176	1122
136	177	1117
137	177	1111
138	178	1105
139	179	1100
140	179	1094
141	180	1088
142	180	1082
143	181	1077
144	181	1072
145	183	1071
146	183	1067
147	184	1063
148	185	1058
149	186	1054
150	186	1049
151	187	1046
152	188	1043
153	189	1039
154	190	1036
155	190	1032
156	191	1028
157	192	1023
158	192	1019
159	193	1015
160	193	1010
161	194	1006
162	195	1002
163	195	998
164	196	994
165	198	997
166	199	994
167	200	991
168	200	987
169	201	984
170	202	980
171	203	978
172	204	975
173	204	972
174	205	969
175	206	965
176	206	961
177	207	957
178	207	953
179	208	949
180	209	946
181	209	942
182	210	938
183	210	935
184	211	931
185	212	930
186	213	926
187	213	923
188	214	920
189	215	917
190	215	914
191	216	911
192	217	910
193	218	908
194	219	905
195	220	902
196	220	899
197	221	896
198	221	892
199	222	889
200	223	886
201	223	883
202	224	880
203	224	877
204	225	874
205	225	870
206	226	869
207	227	867
208	228	864
209	229	861
210	229	859
211	230	856
212	231	854
213	232	852
214	233	851
215	233	848
216	234	845
217	234	842
218	235	839
219	236	837
220	236	834
221	237	831
222	237	828
223	238	826
224	239	823
225	239	820
226	240	818
227	241	816
228	242	815
229	243	813
230	243	811
231	244	809
232	245	806
233	245	804
234	246	803
235	247	801
236	248	799
237	248	796
238	249	794
239	250	791
240	250	789
241	251	786
242	251	784
243	252	781
244	252	779
245	253	777
246	254	774
247	254	772
248	255	770
249	256	768
250	257	767
251	257	765
252	258	763
253	259	761
254	259	759
255	260	757
256	261	755
257	262	754
258	262	752
259	263	750
260	264	747
261	264	745
262	265	743
263	265	741
264	266	739
265	267	737
266	267	734
267	268	732
268	268	730
269	269	728
270	270	727
271	271	726
272	272	724
273	272	722
274	273	720
275	274	719
276	274	717
277	275	716
278	276	715
279	277	713
280	278	711
281	278	709
282	279	707
283	279	705
284	280	703
285	281	701
286	281	699
287	282	697
288	282	695
289	283	693
290	284	691
291	284	690
292	285	688
293	286	688
294	287	686
295	287	684
296	288	683
297	289	681
298	290	679
299	290	678
300	291	677
301	292	675
302	292	673
303	293	671
304	294	670
305	294	668
306	295	666
307	295	664
308	296	663
309	297	661
310	297	659
311	298	657
312	298	655
313	299	654
314	300	654
315	301	652
316	302	651
317	302	649
318	303	647
319	304	646
320	305	645
321	305	643
322	306	642
323	307	640
324	307	639
325	308	637
326	308	635
327	309	634
328	310	632
329	310	630
330	311	629
331	311	627
332	312	625
333	313	624
334	313	622
335	314	620
336	315	620
337	316	619
338	316	617
339	317	616
340	318	614
341	318	613
342	319	612
343	321	612
344	321	610
345	322	609
346	323	607
347	323	606
348	324	604
349	324	603
350	325	601
351	326	600
352	326	598
353	327	597
354	327	595
355	328	594
356	329	593
357	330	593
358	331	591
359	332	590
360	332	589
361	333	587
362	334	586
363	335	585
364	336	584
365	336	583
366	337	582
367	338	580
368	338	579
369	339	577
370	339	576
371	340	574
372	341	573
373	341	572
374	342	570
375	342	569
376	343	567
377	344	566
378	345	565
379	345	564
380	346	562
381	347	561
382	347	560
383	348	559
384	349	558
385	350	557
386	350	555
387	351	554
388	352	553
389	352	551
390	353	550
391	353	549
392	354	547
393	355	546
394	355	544
395	356	543
396	356	542
397	357	540
398	358	539
399	359	538
400	359	537
401	360	536
402	361	535
403	362	534
404	362	532
405	363	531
406	364	530
407	364	529
408	365	528
409	366	526
410	366	525
411	367	524
412	367	522
413	368	521
414	369	520
415	369	518
416	370	517
417	370	516
418	371	515
419	372	513
420	372	512
421	373	511
422	374	510
423	375	509
424	375	508
425	376	507
426	377	506
427	378	505
428	378	504
429	379	503
430	380	501
431	380	500
432	381	499
433	382	498
434	382	497
435	383	495
436	383	494
437	384	493
438	385	492
439	385	490
440	386	489
441	386	488
442	387	487
443	388	486
444	389	485
445	390	484
446	390	483
447	391	482
448	392	481
449	392	480
450	393	479
451	394	478
452	395	477
453	395	475
454	396	474
455	396	473
456	397	472
457	398	471
458	398	469
459	399	468
460	399	467
461	400	466
462	401	465
463	401	463
464	402	462
465	402	461
466	404	461
467	404	460
468	405	459
469	406	458
470	406	456
471	407	455
472	408	454
473	409	454
474	409	452
475	410	451
476	411	450
477	411	449
478	412	448
479	412	447
480	413	446
481	413	444
482	414	443
483	415	442
